,mapping,question_lbl,paths,entity,relations
0,http://atomic_questions.org/eprog0_mapping_20251115024746,Which entity was used in this usage event?,prov:Usage->provone:hadEntity->provone:Data,"['prov:Usage', 'provone:Data']",['provone:hadEntity']
1,http://atomic_questions.org/eprog0_mapping_20251115024916,explore_object_of_class,provone:Data -> provone:Program -> provone:Execution -> provone:Port -> provone:Channel,"['provone:Data', 'provone:Execution', 'provone:Channel']","['provone:Program', 'provone:Port']"
2,http://atomic_questions.org/eprog10_mapping_20251115024758,What channels are connected to the output port used by the execution that generated this data item?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port->provone:connectsTo->provone:Channel,"['prov:Usage', 'provone:Data', 'provone:Execution', 'prov:Generation', 'provone:Port', 'provone:Channel']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedGeneration', 'provone:hadOutPort', 'provone:connectsTo']"
3,http://atomic_questions.org/eprog10_mapping_20251115024916,explore_object_of_class provone:Program | find by prop value | relation:rdfs:label,provone:Program -> rdfs:label,['provone:Program'],['rdfs:label']
4,http://atomic_questions.org/eprog11_mapping_20251115024800,What input ports are used by the program associated with this usage event?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port,"['prov:Usage', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasInPort']"
5,http://atomic_questions.org/eprog11_mapping_20251115024916,explore_object_of_class provone:Program | find by object uri value | relation:prov:atTime,provone:Program -> prov:atTime,['provone:Program'],['prov:atTime']
6,http://atomic_questions.org/eprog12_mapping_20251115024801,What are the output ports of the program that generated this usage entry?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port,"['prov:Usage', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasOutPort']"
7,http://atomic_questions.org/eprog12_mapping_20251115024916,explore_object_of_class provone:Program | find by prop value | relation:prov:atTime,provone:Program -> prov:atTime,['provone:Program'],['prov:atTime']
8,http://atomic_questions.org/eprog13_mapping_20251115024802,What is the program associated with this specific association?,prov:Association->prov:hadPlan->provone:Program,"['prov:Association', 'provone:Program']",['prov:hadPlan']
9,http://atomic_questions.org/eprog13_mapping_20251115024916,explore_object_of_class provone:Data | find by object uri value | relation:http://dbpedia.org/ontology/Ingredient,provone:Data -> http://dbpedia.org/ontology/Ingredient,['provone:Data'],['http://dbpedia.org/ontology/Ingredient']
