question,tags,completeness,accuracy,relevance,recall_final,recall_total,total_retrived_entities
what are the instructions used as an object record to the 'Information-Extraction' AI Task?,['structural'],0.8,0.9,0.7,1.0,1.0,12
what was the builder llm used as an object record to the system_prompt_template AI Task?,['structural'],0.5,0.5,0.3,1.0,1.0,12
what was the sparql results generated by the execution of sparql_query_extractor with id 1_2,['row-level'],0.5,0.5,0.5,0.0,0.0,32
what was the builder llm used as an object record to the information-extraction AI Task?,['structural'],1.0,1.0,1.0,1.0,1.0,11
what are the instructions used as an object record to the post-processing-query step AI Task?,['structural'],1.0,1.0,1.0,0.5,1.0,12
what is the program that takes the system prompt created by the program system_prompt_generator as an input ?,['structural'],1.0,1.0,1.0,0.0,0.0,0
What are the AI Tasks that generated programs?,['structural'],0.5,0.5,0.5,0.125,1.0,21
what were the extracted ingredients generated by the execution of information_extraction with id 1_2,['row-level'],0.9,0.9,1.0,0.0,0.0,32
what was the builder llm used as an object record to the sparql_query_extraction AI Task?,['structural'],0.5,0.5,0.5,0.0,0.0,12
what was the system prompt generated by the execution of system_prompt_generation with id 1_2,['row-level'],0.9,0.9,1.0,1.0,1.0,18
what is the steps in order of programs?,['structural'],0.5,0.5,0.5,0.16666666666666666,0.5833333333333334,18
what is the program that uses as input the output of the llm_chat program?,['structural'],0.0,0.0,0.0,0.0,0.0,0
what was the SPARQL query used as an object record to the sparql_query_extraction AI Task?,['row-level'],0.9,0.9,0.8,1.0,1.0,12
