mapping,question_lbl,paths
http://atomic_questions.org/eprog0_mapping_20251125143153,What is the output port used by this program?,provone:Program->provone:hasOutPort->provone:Port
http://atomic_questions.org/eprog1_mapping_20251125143155,What are the input ports for this program?,provone:Program->provone:hasInPort->provone:Port
http://atomic_questions.org/eprog2_mapping_20251125143156,What is the channel that the output port of this program connects to?,provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog3_mapping_20251125143157,What is the channel connected to the input port of this program?,provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog4_mapping_20251125143158,What is the input port used in this usage event?,prov:Usage->provone:hadInPort->provone:Port
http://atomic_questions.org/eprog5_mapping_20251125143201,What is the entity used in this usage event?,prov:Usage->provone:hadEntity->provone:Data
http://atomic_questions.org/eprog6_mapping_20251125143204,Which channel does the input port of this execution connect to?,prov:Usage->provone:hadInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog7_mapping_20251125143205,Which execution generated the entity associated with this usage event?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution
http://atomic_questions.org/eprog8_mapping_20251125143207,What is the association related to the usage event of this entity?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association
http://atomic_questions.org/eprog9_mapping_20251125143208,What was the generation event that led to the creation of this particular data entity used?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation
http://atomic_questions.org/eprog10_mapping_20251125143209,Who was the user associated with the generation of this entity?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:wasAssociatedWith->provone:User
http://atomic_questions.org/eprog11_mapping_20251125143210,Who was the agent responsible for generating the entity used in this particular usage event?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:agent->provone:User
http://atomic_questions.org/eprog12_mapping_20251125143211,What was the program plan used in the execution that generated the provided entity within this usage?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program
http://atomic_questions.org/eprog13_mapping_20251125143212,What is the output port used when this entity was generated?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port
http://atomic_questions.org/eprog14_mapping_20251125143213,What is the output port of the program used in the generation of this entity?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port
http://atomic_questions.org/eprog15_mapping_20251125143215,What are the input ports of the program that generated this entity?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port
http://atomic_questions.org/eprog16_mapping_20251125143218,What is the channel connected to the output port used during the generation of the entity in this usage?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port->provone:connectsTo->provone:Channel
